B,H,TLen,D,DV,BT,BK,BV,stage,thread_num,latency,ref_latency,TFlops
1,8,512,64,64,64,32,32,2,256,0.05554879829287529,,1.8121597423091529
1,8,512,128,128,64,32,128,2,128,0.05435200408101082,,4.938832717187412
1,8,512,128,64,64,128,128,1,128,0.04691200330853462,,3.576316255278689
1,8,512,256,256,64,128,128,2,256,0.044923197478055954,,17.926292276799206
1,8,16384,64,64,64,64,128,2,256,0.04790880158543587,,67.2366113407279
1,8,16384,128,128,64,64,128,2,256,0.0783935934305191,,109.57444627938037
1,8,16384,128,64,64,64,64,1,128,0.058115195482969284,,92.38047081117203
1,8,16384,256,256,64,128,128,1,256,0.18554240465164185,,138.88902552698465
1,64,512,64,64,64,64,64,2,256,0.016092799603939056,,50.04140906613191
1,64,512,128,128,64,128,128,2,256,0.03036320209503174,,70.72652091432042
1,64,512,128,64,64,32,32,2,256,0.047119997441768646,,28.48423923746337
1,64,512,256,256,64,128,128,1,128,0.057662397623062134,,111.72707361414565
1,64,16384,64,64,64,128,64,1,128,0.0965391993522644,,266.93616633351076
1,64,16384,128,128,64,128,128,1,128,0.526739239692688,,130.46204185602835
1,64,16384,128,64,64,128,64,2,128,0.357448011636734,,120.15641872879893
